SGTB, 11903, 7.149922
FBXW7, 4506, 6.581033
BEND5, 1254, 6.271845
GAS2L1P2, 4894, 6.253115
CALHM1, 1754, 6.149754
TM6SF1, 13495, 5.976856
LINC02217, 7053, 5.974814
GNA15, 5098, 5.935544
TNNT2, 13808, 5.918218
OXR1, 9296, 5.904645
SYNPO2, 13042, 5.799498
BAIAP2L2, 1167, 5.772066
ASGR2, 918, 5.763191
DUSP4, 3670, 5.752645
GAST, 4901, 5.686555
PART1, 9417, 5.640160
MAFG, 7555, 5.607098
WASF3, 14676, 5.606995
PMPCB, 10020, 5.557762
STMN2, 12892, 5.534223
PPP1R11, 10213, 5.519995
XYLT1, 14845, 5.518280
GAP43, 4881, 5.512428
LINC01296, 7013, 5.511389
LOC729603, 7316, 5.493396
C3orf80, 1618, 5.484395
CLSTN1, 2585, 5.483508
LGALS1, 6863, 5.470882
NFKBIE, 8732, 5.447685
OSCAR, 9259, 5.400420
VSTM2L, 14651, 5.378979
PLXNA1, 9999, 5.351264
GUCA1B, 5402, 5.351008
CBLN2, 1875, 5.336809
GGNBP2, 4984, 5.322789
ARHGAP25, 756, 5.303142
PPP2R5E, 10263, 5.300536
SLC22A18, 12072, 5.288185
BAALC, 1147, 5.279190
AIRE, 380, 5.254302
SLC39A10, 12215, 5.246239
COL5A2, 2718, 5.244535
SAE1, 11551, 5.233220
LMO4, 7094, 5.230643
CACYBP, 1739, 5.228820
NAPB, 8510, 5.223129
ABCC12, 45, 5.200536
NME1, 8823, 5.187982
TRIM36, 13992, 5.184332
KCNB2, 6348, 5.180977
DUSP6, 3673, 5.171317
RTP1, 11492, 5.157968
HAUS7, 5474, 5.157409
FAM213A, 4323, 5.152057
MAP1B, 7610, 5.151338
TAX1BP1, 13162, 5.132694
RTN3, 11486, 5.126673
KIF17, 6519, 5.123725
TRUB1, 14073, 5.123350
LCP2, 6831, 5.108763
CALML3, 1760, 5.104736
RASSF5, 10875, 5.099668
PERM1, 9651, 5.066066
FAM189B, 4295, 5.063571
HGF, 5582, 5.062440
TEX29, 13327, 5.057914
NEUROD6, 8707, 5.047333
ACTC1, 165, 5.032494
FFAR4, 4541, 5.027096
FAM98A, 4404, 5.018032
GPR20, 5244, 5.012239
MAP1LC3B2, 7613, 4.973890
NAP1L5, 8507, 4.964763
SPRY4, 12688, 4.959821
WTIP, 14805, 4.955119
MSANTD3, 8243, 4.941884
TMEM232, 13649, 4.937959
KCNJ8, 6383, 4.935379
AGMAT, 340, 4.923377
ERICH1, 4066, 4.920617
P2RX6P, 9306, 4.913622
TNFRSF14, 13783, 4.902602
TUBA4B, 14203, 4.898244
NRP1, 8978, 4.885215
IGSF21, 6007, 4.880354
PPP1R12A, 10214, 4.874630
CTXN3, 3026, 4.869829
ECHS1, 3734, 4.850268
CCKBR, 2009, 4.839241
ZNF733P, 15499, 4.838668
KCNN2, 6400, 4.837459
TEX30, 13328, 4.834087
COX11, 2790, 4.828009
TMOD2, 13747, 4.825351
TMX4, 13767, 4.820845
PHLDA2, 9749, 4.794032
WNT7A, 14793, 4.791968
LCE1D, 6812, 4.788993
SATB1, 11591, 4.772510
GPR22, 5245, 4.744336
ABCC9, 49, 4.742411
CTNNBIP1, 2996, 4.740950
CD79A, 2120, 4.730209
MPND, 8111, 4.720124
FRS3, 4736, 4.716937
PHF23, 9735, 4.705776
LHFPL5, 6883, 4.704569
DNAJC5, 3513, 4.703603
DUSP3, 3669, 4.700969
SMYD2, 12421, 4.700538
NLN, 8813, 4.697549
HDAC9, 5516, 4.693300
PLCH1, 9917, 4.691714
DDAH1, 3231, 4.691069
CDH22, 2177, 4.686812
RNMT, 11253, 4.681358
KRTAP19-5, 6704, 4.675970
CXCL14, 3054, 4.674259
RNF182, 11213, 4.668955
FUT6, 4775, 4.659619
NECTIN3, 8661, 4.653792
UBE2V2, 14328, 4.649571
ID2, 5917, 4.645137
G3BP2, 4807, 4.643559
NIPSNAP2, 8776, 4.638934
PTPN14, 10583, 4.631290
COPS9, 2766, 4.630268
PGAM4, 9691, 4.629128
CHST8, 2465, 4.628491
APOL1, 694, 4.626390
ARX, 889, 4.625460
ZFHX2, 15022, 4.625028
CAPZA2, 1810, 4.622018
TTC1, 14137, 4.617671
MORF4L1, 8084, 4.608352
DENND2D, 3307, 4.599930
ELP3, 3915, 4.597117
PGAM1P5, 9689, 4.589884
KIAA1586, 6504, 4.586626
CACNB1, 1726, 4.582846
MUM1L1, 8350, 4.570921
FTHL17, 4753, 4.570327
RHEB, 11088, 4.570285
LDHC, 6840, 4.560896
ZNF723, 15491, 4.560102
GNAQ, 5104, 4.559979
GPR26, 5247, 4.559228
CMAHP, 2600, 4.555891
KAZN, 6328, 4.539016
ARHGAP26, 757, 4.534301
KIAA1191, 6491, 4.527608
HSPB3, 5860, 4.526723
DACT3, 3146, 4.521230
UBE2D4, 14300, 4.520863
NRN1, 8976, 4.520023
BLVRA, 1302, 4.517483
PPIAP30, 10178, 4.515742
CD6, 2115, 4.515562
SEPT3, 11794, 4.512732
ANO5, 611, 4.507489
DPY19L1, 3595, 4.500588
ADPRHL1, 291, 4.499071
WFDC10B, 14760, 4.498574
CFAP36, 2344, 4.493308
SPON2, 12667, 4.490881
SLC1A3, 12061, 4.488451
GFRA2, 4971, 4.481294
ODF3L2, 9136, 4.480683
ST8SIA5, 12826, 4.480477
SKAP1, 12004, 4.476877
TGFB2, 13354, 4.472194
HSP90AB1, 5842, 4.471506
NOS2, 8874, 4.465228
PCDH12, 9461, 4.463962
CLASP1, 2512, 4.463148
GALNTL5, 4872, 4.462909
ITGA8, 6217, 4.462381
FAM234B, 4343, 4.457345
CKAP4, 2502, 4.449407
AHNAK2, 363, 4.433869
SKP1P2, 12011, 4.428703
TWF2, 14235, 4.428460
GRIA3, 5301, 4.423801
GOLGA7B, 5151, 4.416037
ARL6IP1, 833, 4.411051
LRRC14, 7386, 4.410282
PKP3, 9880, 4.409991
SV2B, 12998, 4.403237
NEFM, 8668, 4.395959
TCERG1L, 13247, 4.395196
ANKRD20A12P, 564, 4.392717
MYO5B, 8427, 4.392607
TFRC, 13351, 4.389277
RDH11, 10969, 4.384668
NOVA1, 8884, 4.383579
SERPINI1, 11824, 4.380422
POPDC3, 10138, 4.379036
AACS, 8, 4.378458
FITM2, 4595, 4.371773
IAPP, 5900, 4.365567
C14orf177, 1468, 4.363977
MEIS3P1, 7847, 4.349420
GDA, 4934, 4.348010
NTN4, 9025, 4.347294
PSMC1, 10496, 4.340926
C11orf74, 1444, 4.340517
VAV2, 14561, 4.338879
SLAMF8, 12017, 4.335809
